============================================================
  STAGE 13 — GMM TRAINING
============================================================

  Training GMM with k=2 components...
  EM Iteration 1: log-likelihood = -146223.6749
  EM Iteration 2: log-likelihood = -71101.8699
  EM Iteration 3: log-likelihood = -54661.4144
  EM Iteration 4: log-likelihood = -41421.6264
  EM Iteration 5: log-likelihood = -27830.9683
  EM Iteration 6: log-likelihood = -21648.8149
  EM Iteration 7: log-likelihood = -19954.2287
  EM Iteration 8: log-likelihood = -19175.6993
  EM Iteration 9: log-likelihood = -18714.2264
  EM Iteration 10: log-likelihood = -18415.3402
  EM Iteration 11: log-likelihood = -18212.8162
  EM Iteration 12: log-likelihood = -18071.6666
  EM Iteration 13: log-likelihood = -17971.1750
  EM Iteration 14: log-likelihood = -17898.3660
  EM Iteration 15: log-likelihood = -17844.7832
  EM Iteration 16: log-likelihood = -17804.7805
  EM Iteration 17: log-likelihood = -17774.5281
  EM Iteration 18: log-likelihood = -17751.3906
  EM Iteration 19: log-likelihood = -17733.5243
  EM Iteration 20: log-likelihood = -17719.6173
  EM Iteration 21: log-likelihood = -17708.7200
  EM Iteration 22: log-likelihood = -17700.1340
  EM Iteration 23: log-likelihood = -17693.3383
  EM Iteration 24: log-likelihood = -17687.9395
  EM Iteration 25: log-likelihood = -17683.6371
  EM Iteration 26: log-likelihood = -17680.1999
  EM Iteration 27: log-likelihood = -17677.4479
  EM Iteration 28: log-likelihood = -17675.2409
  EM Iteration 29: log-likelihood = -17673.4683
  EM Iteration 30: log-likelihood = -17672.0429
  EM Iteration 31: log-likelihood = -17670.8957
  EM Iteration 32: log-likelihood = -17669.9715
  EM Iteration 33: log-likelihood = -17669.2266
  EM Iteration 34: log-likelihood = -17668.6258
  EM Iteration 35: log-likelihood = -17668.1410
  EM Iteration 36: log-likelihood = -17667.7497
  EM Iteration 37: log-likelihood = -17667.4337
  EM Iteration 38: log-likelihood = -17667.1785
  EM Iteration 39: log-likelihood = -17666.9724
  EM Iteration 40: log-likelihood = -17666.8058
  EM Iteration 41: log-likelihood = -17666.6712
  EM Iteration 42: log-likelihood = -17666.5624
  EM Iteration 43: log-likelihood = -17666.4745
  EM Iteration 44: log-likelihood = -17666.4035
  EM Iteration 45: log-likelihood = -17666.3460
  EM Iteration 46: log-likelihood = -17666.2996
  EM Iteration 47: log-likelihood = -17666.2620
  EM Iteration 48: log-likelihood = -17666.2317
  EM Iteration 49: log-likelihood = -17666.2072
  EM Iteration 50: log-likelihood = -17666.1873
  BIC for k=2: 38279.48

  Training GMM with k=3 components...
  EM Iteration 1: log-likelihood = -134318.3596
  EM Iteration 2: log-likelihood = -55978.2563
  EM Iteration 3: log-likelihood = -22969.4325
  EM Iteration 4: log-likelihood = -10629.8451
  EM Iteration 5: log-likelihood = -4336.7267
  EM Iteration 6: log-likelihood = -857.7017
  EM Iteration 7: log-likelihood = 4982.6045
  EM Iteration 8: log-likelihood = 36673.6366
  EM Iteration 9: log-likelihood = 39104.4107
  EM Iteration 10: log-likelihood = 40065.7881
  EM Iteration 11: log-likelihood = 40391.0475
  EM Iteration 12: log-likelihood = 40506.9130
  EM Iteration 13: log-likelihood = 40538.9144
  EM Iteration 14: log-likelihood = 40553.8145
  EM Iteration 15: log-likelihood = 40653.7581
  EM Iteration 16: log-likelihood = 40809.2955
  EM Iteration 17: log-likelihood = 41113.6791
  EM Iteration 18: log-likelihood = 41447.8205
  EM Iteration 19: log-likelihood = 41581.6708
  EM Iteration 20: log-likelihood = 41676.0684
  EM Iteration 21: log-likelihood = 41778.2194
  EM Iteration 22: log-likelihood = 41881.8536
  EM Iteration 23: log-likelihood = 42009.9031
  EM Iteration 24: log-likelihood = 42109.5887
  EM Iteration 25: log-likelihood = 42561.9808
  EM Iteration 26: log-likelihood = 46180.3213
  EM Iteration 27: log-likelihood = 47153.4329
  EM Iteration 28: log-likelihood = 48066.6291
  EM Iteration 29: log-likelihood = 49498.4429
  EM Iteration 30: log-likelihood = 53541.6375
  EM Iteration 31: log-likelihood = 65158.7381
  EM Iteration 32: log-likelihood = 67804.1945
  EM Iteration 33: log-likelihood = 69317.7728
  EM Iteration 34: log-likelihood = 70189.0717
  EM Iteration 35: log-likelihood = 70737.4389
  EM Iteration 36: log-likelihood = 71214.5487
  EM Iteration 37: log-likelihood = 71648.7982
  EM Iteration 38: log-likelihood = 72004.6762
  EM Iteration 39: log-likelihood = 72396.1767
  EM Iteration 40: log-likelihood = 73212.0012
  EM Iteration 41: log-likelihood = 76841.5646
  EM Iteration 42: log-likelihood = 102781.2086
  EM Iteration 43: log-likelihood = 105104.6229
  EM Iteration 44: log-likelihood = 106004.3650
  EM Iteration 45: log-likelihood = 106425.4098
  EM Iteration 46: log-likelihood = 106620.4306
  EM Iteration 47: log-likelihood = 106700.6550
  EM Iteration 48: log-likelihood = 106734.9778
  EM Iteration 49: log-likelihood = 106752.9021
  EM Iteration 50: log-likelihood = 106763.5367
  BIC for k=3: -209101.59

  Training GMM with k=4 components...
  EM Iteration 1: log-likelihood = -129265.5637
  EM Iteration 2: log-likelihood = -31863.6374
  EM Iteration 3: log-likelihood = 36227.7226
  EM Iteration 4: log-likelihood = 58690.6441
  EM Iteration 5: log-likelihood = 71227.3908
  EM Iteration 6: log-likelihood = 75798.7087
  EM Iteration 7: log-likelihood = 79530.7377
  EM Iteration 8: log-likelihood = 84569.8389
  EM Iteration 9: log-likelihood = 110144.8003
  EM Iteration 10: log-likelihood = 111858.7439
  EM Iteration 11: log-likelihood = 113268.8275
  EM Iteration 12: log-likelihood = 115078.5186
  EM Iteration 13: log-likelihood = 121456.4409
  EM Iteration 14: log-likelihood = 123057.2441
  EM Iteration 15: log-likelihood = 127897.8411
  EM Iteration 16: log-likelihood = 133718.5888
  EM Iteration 17: log-likelihood = 136979.1727
  EM Iteration 18: log-likelihood = 137859.9036
  EM Iteration 19: log-likelihood = 138148.2393
  EM Iteration 20: log-likelihood = 139950.1331
  EM Iteration 21: log-likelihood = 140064.7916
  EM Iteration 22: log-likelihood = 140113.0538
  EM Iteration 23: log-likelihood = 140140.9868
  EM Iteration 24: log-likelihood = 140153.5246
  EM Iteration 25: log-likelihood = 140161.9764
  EM Iteration 26: log-likelihood = 140164.7332
  EM Iteration 27: log-likelihood = 140167.3879
  EM Iteration 28: log-likelihood = 140177.6442
  EM Iteration 29: log-likelihood = 140201.9855
  EM Iteration 30: log-likelihood = 140235.2444
  EM Iteration 31: log-likelihood = 140252.1138
  EM Iteration 32: log-likelihood = 140259.3193
  EM Iteration 33: log-likelihood = 140269.8020
  EM Iteration 34: log-likelihood = 140278.6142
  EM Iteration 35: log-likelihood = 140282.9824
  EM Iteration 36: log-likelihood = 140287.3469
  EM Iteration 37: log-likelihood = 140290.6593
  EM Iteration 38: log-likelihood = 140292.8062
  EM Iteration 39: log-likelihood = 140294.5452
  EM Iteration 40: log-likelihood = 140296.1362
  EM Iteration 41: log-likelihood = 140297.6868
  EM Iteration 42: log-likelihood = 140299.2300
  EM Iteration 43: log-likelihood = 140300.7023
  EM Iteration 44: log-likelihood = 140302.0167
  EM Iteration 45: log-likelihood = 140303.1777
  EM Iteration 46: log-likelihood = 140304.2330
  EM Iteration 47: log-likelihood = 140305.2174
  EM Iteration 48: log-likelihood = 140306.1517
  EM Iteration 49: log-likelihood = 140307.0503
